rebalance_date,fund_id,fund_name,asset_family,method,asset,asset_class,sector,pretrade_weight,target_weight,is_latest_rebalance
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMD,Equity,Tech,0.0188725195458,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMGN,Equity,Healthcare,0.0212219077853,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMT,Equity,RealEstate,0.0204712842442,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,BA,Equity,Industrials,0.0183341706135,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CAT,Equity,Industrials,0.0204092307774,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CCI,Equity,RealEstate,0.0202190543028,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CMCSA,Equity,Comm,0.019206124231,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,COP,Equity,Energy,0.0202303843962,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CVX,Equity,Energy,0.0203896639388,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,D,Equity,Utilities,0.0195893510141,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DD,Equity,Materials,0.0225804843952,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DIS,Equity,Consumer,0.0187589363347,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DOW,Equity,Materials,0.0188992331767,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DUK,Equity,Utilities,0.0207487548298,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,EA,Equity,Comm,0.020153871651,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GE,Equity,Industrials,0.0199856095401,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GILD,Equity,Healthcare,0.0227563807599,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GS,Equity,Financials,0.0207818857871,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,INTC,Equity,Tech,0.0225183951942,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,KO,Equity,Consumer,0.0177447036829,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MMM,Equity,Industrials,0.0203107586086,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MRK,Equity,Healthcare,0.0190415385747,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MS,Equity,Financials,0.0198753792355,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEE,Equity,Utilities,0.021184663888,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEM,Equity,Materials,0.0201123062403,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NKE,Equity,Consumer,0.019084441299,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NUE,Equity,Materials,0.0185155350962,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NVDA,Equity,Tech,0.0201091534987,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,O,Equity,RealEstate,0.0192734847361,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,OXY,Equity,Energy,0.0234209103653,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PLD,Equity,RealEstate,0.0209280450046,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PSA,Equity,RealEstate,0.0199204938871,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,QCOM,Equity,Tech,0.020732861128,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SBUX,Equity,Consumer,0.0182888962113,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SHW,Equity,Materials,0.019024636471,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SLB,Equity,Energy,0.0205619671145,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SO,Equity,Utilities,0.0193843879324,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,T,Equity,Comm,0.0205928324488,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,TMUS,Equity,Comm,0.01889579211,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,TTWO,Equity,Comm,0.0194962615453,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,UPS,Equity,Industrials,0.0186019962253,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,USB,Equity,Financials,0.0185877924595,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,V,Equity,Financials,0.0178558741297,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,WFC,Equity,Financials,0.0200092720577,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,WMT,Equity,Consumer,0.0196970323152,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,XOM,Equity,Energy,0.0219850511786,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABBV,Equity,Healthcare,0.0201048930605,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABT,Equity,Healthcare,0.0185338177737,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ADBE,Equity,Tech,0.0191608646728,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AEP,Equity,Utilities,0.0178541988146,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMD,Equity,Tech,0.0188710205494,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMGN,Equity,Healthcare,0.0179480827033,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMT,Equity,RealEstate,0.0181787882279,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,BA,Equity,Industrials,0.0208782165587,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CAT,Equity,Industrials,0.0225790177486,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CCI,Equity,RealEstate,0.018701877824,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CMCSA,Equity,Comm,0.0203385675125,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,COP,Equity,Energy,0.0250746882783,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CVX,Equity,Energy,0.0227625102261,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,D,Equity,Utilities,0.0179243659677,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DD,Equity,Materials,0.0169988975782,0.02,False
2021-03-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DIS,Equity,Consumer,0.0214965635534,0.02,False
