rebalance_date,sector,sentiment_signal,sentiment_zscore,coverage_share_21d_lag1,breadth_21d_lag1,coverage_quality,naive_multiplier,gated_multiplier,base_sector_weight,naive_sector_weight,gated_sector_weight,signal_available,coverage_available
2021-01-04,Comm,0.0954210840835,-0.973504244616,1,0.439569090532,0.439569090532,0.853974363308,0.935811643685,0.1,0.0856894677705,0.094082735864,True,True
2021-01-04,Consumer,0.164761027408,0.63896876279,1,0.783079957518,0.783079957518,1.09584531442,1.07505454474,0.1,0.109959274875,0.108081656661,True,True
2021-01-04,Energy,0.0892464240363,-1.11709352633,1,0.696241910045,0.696241910045,0.832435971051,0.883334900429,0.1,0.0835282631156,0.0888069353245,True,True
2021-01-04,Financials,0.119196152534,-0.420624413921,1,0.829278573359,0.829278573359,0.936906337912,0.947677777916,0.1,0.0940110252673,0.0952757092365,True,True
2021-01-04,Healthcare,0.174704316578,0.870196026943,1,0.915457960127,0.915457960127,1.13052940404,1.11949418196,0.1,0.113439544667,0.112549438911,True,True
2021-01-04,Industrials,0.125173985783,-0.281612261695,1,0.591414693691,0.591414693691,0.957758160746,0.975017555577,0.1,0.0961033381954,0.0980243404355,True,True
2021-01-04,Materials,0.114240441176,-0.535867525094,1,0.759849906191,0.759849906191,0.919619871236,0.938923166699,0.1,0.0922764671906,0.0943955558635,True,True
2021-01-04,RealEstate,0.0973315,-0.929078276688,1,0.904334828102,0.904334828102,0.860638258497,0.873970323454,0.1,0.0863581361247,0.0878654584492,True,True
2021-01-04,Tech,0.159705914588,0.521414109861,0.8,0.678371257485,0.542697005988,1.07821211648,1.04244548145,0.1,0.108189925101,0.104803272694,True,True
2021-01-04,Utilities,0.233058578431,2,1,0.51652892562,0.51652892562,1.3,1.15495867769,0.1,0.130444557692,0.116114896561,True,True
2021-02-01,Comm,0.0628654695767,-1.33121276005,1,0.588047808765,0.588047808765,0.800318085993,0.882577488018,0.1,0.0802326343876,0.0890345287224,True,True
2021-02-01,Consumer,0.117081840505,0.149746630955,1,0.793465133593,0.793465133593,1.02246199464,1.01782280958,0.1,0.102502768371,0.102678093883,True,True
2021-02-01,Energy,0.0662076859847,-1.23991770117,1,0.759979236958,0.759979236958,0.814012344825,0.858653243736,0.1,0.0816054966049,0.0866210479306,True,True
2021-02-01,Financials,0.130188038982,0.50775192313,1,0.793400303047,0.793400303047,1.07616278847,1.06042757945,0.1,0.107886323026,0.106976068462,True,True
