trading_date,sector,article_count,covered_tickers,coverage_share,has_news,breadth,rolling_21d_article_count,rolling_21d_covered_tickers,rolling_21d_breadth
2020-01-13,Energy,19,5,1,True,0.67476635514,156,5,0.840041422161
2020-01-13,Financials,33,5,1,True,0.743344709898,98,5,0.885161290323
2020-01-13,Healthcare,24,5,1,True,0.9,113,5,0.891378708551
2020-01-13,Industrials,10,4,0.8,True,0.47619047619,86,5,0.633761782348
2020-01-13,Materials,4,2,0.4,True,0.32,42,5,0.591946308725
2020-01-13,RealEstate,3,1,0.2,True,0.2,27,5,0.659728506787
2020-01-13,Tech,39,5,1,True,0.702540415704,175,5,0.731692748776
2020-01-13,Utilities,6,4,0.8,True,0.6,33,5,0.775088967972
2020-01-14,Comm,4,2,0.4,True,0.32,87,5,0.698569450854
2020-01-14,Consumer,19,5,1,True,0.459872611465,202,5,0.772071901608
2020-01-14,Energy,23,5,1,True,0.936283185841,179,5,0.869380002713
2020-01-14,Financials,38,5,1,True,0.544905660377,136,5,0.798273629694
2020-01-14,Healthcare,9,4,0.8,True,0.704347826087,122,5,0.898792270531
2020-01-14,Industrials,10,3,0.6,True,0.47619047619,96,5,0.633402061856
2020-01-14,Materials,4,2,0.4,True,0.4,46,5,0.587777777778
2020-01-14,RealEstate,2,1,0.2,True,0.2,29,5,0.607220216606
2020-01-14,Tech,12,3,0.6,True,0.533333333333,187,5,0.719897066392
2020-01-14,Utilities,5,3,0.6,True,0.555555555556,38,5,0.772192513369
2020-01-15,Comm,9,3,0.6,True,0.558620689655,96,5,0.688274831964
2020-01-15,Consumer,27,4,0.8,True,0.508013937282,229,5,0.739908289242
2020-01-15,Energy,13,5,1,True,0.913513513514,192,5,0.88658008658
2020-01-15,Financials,36,5,1,True,0.757894736842,172,5,0.849870726803
2020-01-15,Healthcare,12,3,0.6,True,0.6,134,5,0.883661417323
2020-01-15,Industrials,10,4,0.8,True,0.714285714286,106,5,0.649104563836
2020-01-15,Materials,4,2,0.4,True,0.32,50,5,0.631313131313
2020-01-15,RealEstate,7,2,0.4,True,0.392,36,5,0.611320754717
2020-01-15,Tech,24,5,1,True,0.606315789474,211,5,0.72633983196
2020-01-15,Utilities,10,4,0.8,True,0.47619047619,48,5,0.72
2020-01-16,Comm,17,4,0.8,True,0.649438202247,113,5,0.691150202977
2020-01-16,Consumer,19,4,0.8,True,0.478145695364,248,5,0.717750029175
2020-01-16,Energy,13,3,0.6,True,0.450666666667,205,5,0.863379558295
2020-01-16,Financials,46,5,1,True,0.529,218,5,0.860162895928
2020-01-16,Healthcare,8,4,0.8,True,0.581818181818,142,5,0.881679055531
2020-01-16,Industrials,4,2,0.4,True,0.32,110,5,0.633507853403
2020-01-16,Materials,4,4,0.8,True,0.8,54,5,0.655280898876
2020-01-16,RealEstate,3,3,0.6,True,0.6,39,5,0.640421052632
2020-01-16,Tech,19,4,0.8,True,0.5776,230,5,0.718067055789
2020-01-16,Utilities,11,4,0.8,True,0.733333333333,59,5,0.73207150368
2020-01-17,Comm,8,3,0.6,True,0.426666666667,121,5,0.683679663787
2020-01-17,Consumer,23,5,1,True,0.783703703704,271,5,0.726024417972
2020-01-17,Energy,31,4,0.8,True,0.494087403599,236,5,0.856334563346
2020-01-17,Financials,17,5,1,True,0.502608695652,235,5,0.861477263864
2020-01-17,Healthcare,11,3,0.6,True,0.49387755102,153,5,0.880865475071
2020-01-17,Industrials,12,4,0.8,True,0.576,122,5,0.632016985138
2020-01-17,Materials,5,3,0.6,True,0.555555555556,59,5,0.654938852305
2020-01-17,RealEstate,3,2,0.4,True,0.36,42,5,0.616783216783
2020-01-17,Tech,38,5,1,True,0.793406593407,268,5,0.74731037353
2020-01-17,Utilities,17,5,1,True,0.530275229358,76,5,0.743371943372
2020-01-21,Comm,19,4,0.8,True,0.437575757576,140,5,0.670314637483
2020-01-21,Consumer,51,5,1,True,0.437510513036,322,5,0.680966767372
2020-01-21,Energy,28,4,0.8,True,0.598473282443,264,5,0.847676964242
2020-01-21,Financials,29,5,1,True,0.871502590674,264,5,0.869135802469
2020-01-21,Healthcare,21,5,1,True,0.809174311927,174,5,0.876548928778
2020-01-21,Industrials,16,5,1,True,0.64,138,5,0.646875
2020-01-21,Materials,11,4,0.8,True,0.654054054054,70,5,0.702005730659
2020-01-21,RealEstate,7,3,0.6,True,0.515789473684,49,5,0.616431322208
2020-01-21,Tech,44,5,1,True,0.404175365344,312,5,0.710955302366
2020-01-21,Utilities,15,5,1,True,0.569620253165,91,5,0.745029239766
2020-01-22,Comm,4,3,0.6,True,0.533333333333,144,5,0.668687520155
2020-01-22,Consumer,32,5,1,True,0.644025157233,354,5,0.679182700125
2020-01-22,Energy,11,4,0.8,True,0.691428571429,275,5,0.848622566347
