month,sector,article_count,covered_tickers,hhi,breadth
2020-11,Comm,266,5,0.242438803776,0.824950448875
2020-11,Consumer,475,5,0.287109141274,0.696599206533
2020-11,Energy,237,5,0.293880966369,0.680547646453
2020-11,Financials,301,5,0.252017085904,0.793596986817
2020-11,Healthcare,199,5,0.217140981288,0.921060588441
2020-11,Industrials,330,5,0.323764921947,0.617732145896
2020-11,Materials,51,5,0.227220299885,0.880203045685
2020-11,RealEstate,34,5,0.257785467128,0.775838926174
2020-11,Tech,208,4,0.283284023669,0.706005221932
2020-11,Utilities,87,5,0.364777381424,0.548279608837
2020-12,Comm,212,5,0.445042719829,0.449395060494
2020-12,Consumer,516,5,0.256985758067,0.778253244476
2020-12,Energy,265,5,0.288202207191,0.693957211325
2020-12,Financials,281,5,0.240409822571,0.831912764052
2020-12,Healthcare,183,5,0.216160530323,0.925238292582
2020-12,Industrials,351,5,0.339404712624,0.589267009446
2020-12,Materials,47,5,0.263920325939,0.757804459691
2020-12,RealEstate,56,5,0.220025510204,0.908985507246
2020-12,Tech,249,4,0.288721149659,0.692709904475
2020-12,Utilities,51,5,0.377931564783,0.529196337742
2021-01,Comm,231,5,0.336106894548,0.595048787287
2021-01,Consumer,407,5,0.25132056336,0.79579640172
2021-01,Energy,224,5,0.258729272959,0.77300878139
2021-01,Financials,360,5,0.253410493827,0.789233298825
2021-01,Healthcare,176,5,0.221268078512,0.903880945433
2021-01,Industrials,324,5,0.306260478586,0.653038880249
2021-01,Materials,68,5,0.219290657439,0.912031558185
2021-01,RealEstate,63,5,0.232552280171,0.860021668472
2021-01,Tech,303,4,0.357317910009,0.559725651578
2021-01,Utilities,73,5,0.37211484331,0.537468482098
2021-02,Comm,226,5,0.245046597228,0.816171300735
2021-02,Consumer,405,5,0.260417619265,0.767997190682
2021-02,Energy,249,5,0.293656553927,0.681067721206
2021-02,Financials,237,5,0.24075557692,0.830718035939
2021-02,Healthcare,191,5,0.216797785148,0.92251864964
2021-02,Industrials,250,5,0.27488,0.727590221187
2021-02,Materials,76,5,0.210526315789,0.95
2021-02,RealEstate,62,5,0.240894901145,0.830237580994
2021-02,Tech,182,4,0.276597029344,0.723073564724
2021-02,Utilities,82,5,0.243307555027,0.822004889976
2021-03,Comm,207,5,0.315223225746,0.634471015029
2021-03,Consumer,490,5,0.264806330696,0.755268952501
2021-03,Energy,261,5,0.289029814595,0.691970135609
2021-03,Financials,329,5,0.247032085809,0.809611428999
2021-03,Healthcare,186,5,0.218406752226,0.915722604553
2021-03,Industrials,293,5,0.332991648126,0.600615664463
2021-03,Materials,54,5,0.203703703704,0.981818181818
2021-03,RealEstate,61,5,0.224939532384,0.889127837515
2021-03,Tech,211,4,0.299117270502,0.668634076744
2021-03,Utilities,51,5,0.244136870434,0.819212598425
2021-04,Comm,235,5,0.397917609778,0.502616609784
2021-04,Consumer,430,5,0.22833964305,0.875888204642
2021-04,Energy,208,5,0.252172707101,0.793107241063
2021-04,Financials,450,5,0.272958024691,0.732713391468
2021-04,Healthcare,257,5,0.203954639737,0.980610199688
2021-04,Industrials,291,5,0.249914384573,0.800274063224
2021-04,Materials,61,5,0.22655200215,0.882799525504
2021-04,RealEstate,65,5,0.237396449704,0.842472582253
2021-04,Tech,280,4,0.352474489796,0.567416950134
2021-04,Utilities,90,5,0.267160493827,0.748613678373
2021-05,Comm,294,5,0.27648202138,0.723374340949
2021-05,Consumer,417,5,0.284187038858,0.703761863326
2021-05,Energy,239,5,0.294655205616,0.678759432
2021-05,Financials,241,5,0.243608064599,0.820990882748
