date,sector,vader_compound_raw,vader_compound_lag1,vader_compound_21d_trailing,vader_compound_21d_trailing_lag1,positive_ticker_share,neutral_ticker_share,negative_ticker_share,article_count,covered_tickers,coverage_share,breadth,has_news,signal_source_date,signal_available
2020-01-02,Comm,0.108975,,0.108975,,0.5,0.5,0,11,4,0.8,0.620512820513,True,,False
2020-01-02,Consumer,-0.0689454761905,,-0.0689454761905,,0.2,0.2,0.6,22,5,1,0.91320754717,True,,False
2020-01-02,Energy,0.192461666667,,0.192461666667,,1,0,0,21,5,1,0.728925619835,True,,False
2020-01-02,Financials,0.107185333333,,0.107185333333,,0.4,0.6,0,12,5,1,0.72,True,,False
2020-01-02,Healthcare,0.21549047619,,0.21549047619,,1,0,0,23,5,1,0.889075630252,True,,False
2020-01-02,Industrials,0.08408,,0.08408,,0.4,0.6,0,13,5,1,0.71914893617,True,,False
2020-01-02,Materials,0.182916666667,,0.182916666667,,0.666666666667,0.333333333333,0,7,3,0.6,0.576470588235,True,,False
2020-01-02,RealEstate,0.0181,,0.0181,,0,1,0,3,2,0.4,0.36,True,,False
2020-01-02,Tech,0.0769887179487,,0.0769887179487,,0.5,0.25,0.25,25,4,0.8,0.541125541126,True,,False
2020-01-02,Utilities,0.6369,,0.6369,,1,0,0,1,1,0.2,0.2,True,,False
2020-01-03,Comm,0.135575,0.108975,0.122275,0.108975,0.5,0.5,0,3,2,0.4,0.36,True,2020-01-02,True
2020-01-03,Consumer,-0.217791666667,-0.0689454761905,-0.143368571429,-0.0689454761905,0.25,0.25,0.5,10,4,0.8,0.666666666667,True,2020-01-02,True
2020-01-03,Energy,-0.0461897272727,0.192461666667,0.073135969697,0.192461666667,0.4,0,0.6,28,5,1,0.776237623762,True,2020-01-02,True
2020-01-03,Financials,0.0840916666667,0.107185333333,0.0956385,0.107185333333,0.333333333333,0.333333333333,0.333333333333,8,3,0.6,0.533333333333,True,2020-01-02,True
2020-01-03,Healthcare,0.2093875,0.21549047619,0.212438988095,0.21549047619,1,0,0,6,2,0.4,0.36,True,2020-01-02,True
2020-01-03,Industrials,-0.1561,0.08408,-0.03601,0.08408,0.25,0,0.75,7,4,0.8,0.753846153846,True,2020-01-02,True
2020-01-03,Materials,-0.07075,0.182916666667,0.0560833333333,0.182916666667,0.5,0,0.5,3,2,0.4,0.36,True,2020-01-02,True
2020-01-03,RealEstate,-0.0640333333333,0.0181,-0.0229666666667,0.0181,0.333333333333,0,0.666666666667,5,3,0.6,0.454545454545,True,2020-01-02,True
2020-01-03,Tech,0.0980852678571,0.0769887179487,0.0875369929029,0.0769887179487,0.5,0.5,0,17,4,0.8,0.502608695652,True,2020-01-02,True
2020-01-03,Utilities,0.14085,0.6369,0.388875,0.6369,0.5,0.5,0,4,2,0.4,0.32,True,2020-01-02,True
2020-01-06,Comm,0.173809722222,0.135575,0.139453240741,0.122275,1,0,0,16,3,0.6,0.492307692308,True,2020-01-03,True
2020-01-06,Consumer,0.106789313725,-0.217791666667,-0.0599826097106,-0.143368571429,0.8,0.2,0,44,5,1,0.660750853242,True,2020-01-03,True
2020-01-06,Energy,0.0854396969697,-0.0461897272727,0.0772372121212,0.073135969697,1,0,0,34,5,1,0.843795620438,True,2020-01-03,True
2020-01-06,Financials,0.284306,0.0840916666667,0.158527666667,0.0956385,0.8,0.2,0,12,5,1,0.757894736842,True,2020-01-03,True
2020-01-06,Healthcare,0.32718,0.2093875,0.250685992063,0.212438988095,1,0,0,12,5,1,0.757894736842,True,2020-01-03,True
2020-01-06,Industrials,0.0735287037037,-0.1561,0.000502901234568,-0.03601,0.666666666667,0.333333333333,0,14,3,0.6,0.4,True,2020-01-03,True
2020-01-06,Materials,-0.069765,-0.07075,0.0141338888889,0.0560833333333,0.25,0.5,0.25,9,4,0.8,0.522580645161,True,2020-01-03,True
2020-01-06,RealEstate,0.148,-0.0640333333333,0.0340222222222,-0.0229666666667,0.666666666667,0.333333333333,0,4,3,0.6,0.533333333333,True,2020-01-03,True
2020-01-06,Tech,-0.0131166666667,0.0980852678571,0.0539857730464,0.0875369929029,0.4,0.4,0.2,13,5,1,0.662745098039,True,2020-01-03,True
2020-01-06,Utilities,0.0113125,0.14085,0.263020833333,0.388875,0.25,0.5,0.25,6,4,0.8,0.72,True,2020-01-03,True
2020-01-07,Comm,0.292633333333,0.173809722222,0.177748263889,0.139453240741,0.333333333333,0.666666666667,0,5,3,0.6,0.454545454545,True,2020-01-06,True
2020-01-07,Consumer,0.1472385,0.106789313725,-0.00817733228291,-0.0599826097106,1,0,0,22,5,1,0.793442622951,True,2020-01-06,True
2020-01-07,Energy,0.07935,0.0854396969697,0.0777654090909,0.0772372121212,0.333333333333,0.666666666667,0,12,3,0.6,0.533333333333,True,2020-01-06,True
2020-01-07,Financials,0.140525,0.284306,0.154027,0.158527666667,0.75,0.25,0,11,4,0.8,0.562790697674,True,2020-01-06,True
2020-01-07,Healthcare,0.108637333333,0.32718,0.215173827381,0.250685992063,0.4,0.4,0.2,15,5,1,0.737704918033,True,2020-01-06,True
2020-01-07,Industrials,0.0300571428571,0.0735287037037,0.00789146164021,0.000502901234568,0.5,0.25,0.25,13,4,0.8,0.50447761194,True,2020-01-06,True
2020-01-07,Materials,0.127266666667,-0.069765,0.0424170833333,0.0141338888889,0.333333333333,0.666666666667,0,3,3,0.6,0.6,True,2020-01-06,True
2020-01-07,RealEstate,0,0.148,0.0255166666667,0.0340222222222,0,1,0,2,2,0.4,0.4,True,2020-01-06,True
2020-01-07,Tech,0.00910267857143,-0.0131166666667,0.0427649994277,0.0539857730464,0.25,0.75,0,21,4,0.8,0.634532374101,True,2020-01-06,True
2020-01-07,Utilities,0.6369,0.0113125,0.356490625,0.263020833333,1,0,0,1,1,0.2,0.2,True,2020-01-06,True
2020-01-08,Comm,0.1929775,0.292633333333,0.180794111111,0.177748263889,0.75,0.25,0,20,4,0.8,0.588235294118,True,2020-01-07,True
2020-01-08,Consumer,0.0717625,0.1472385,0.00781063417367,-0.00817733228291,0.5,0.5,0,16,4,0.8,0.568888888889,True,2020-01-07,True
2020-01-08,Energy,-0.018875,0.07935,0.0584373272727,0.0777654090909,0.6,0.2,0.2,17,5,1,0.83768115942,True,2020-01-07,True
2020-01-08,Financials,0.467683333333,0.140525,0.216758266667,0.154027,1,0,0,4,3,0.6,0.533333333333,True,2020-01-07,True
2020-01-08,Healthcare,0.257151851852,0.108637333333,0.223569432275,0.215173827381,0.666666666667,0.333333333333,0,13,3,0.6,0.371428571429,True,2020-01-07,True
2020-01-08,Industrials,0.0203428571429,0.0300571428571,0.0103817407407,0.00789146164021,0.333333333333,0.666666666667,0,12,3,0.6,0.464516129032,True,2020-01-07,True
2020-01-08,Materials,-0.0996,0.127266666667,0.0140136666667,0.0424170833333,0.5,0,0.5,6,2,0.4,0.36,True,2020-01-07,True
2020-01-08,RealEstate,-0.1008,0,0.000253333333333,0.0255166666667,0.5,0,0.5,3,2,0.4,0.36,True,2020-01-07,True
2020-01-08,Tech,0.087443125,0.00910267857143,0.0517006245421,0.0427649994277,0.5,0.5,0,22,4,0.8,0.562790697674,True,2020-01-07,True
2020-01-08,Utilities,0.279733333333,0.6369,0.341139166667,0.356490625,0.666666666667,0.333333333333,0,3,3,0.6,0.6,True,2020-01-07,True
2020-01-09,Comm,0.16018,0.1929775,0.177358425926,0.180794111111,0.4,0.6,0,6,5,1,0.9,True,2020-01-08,True
2020-01-09,Consumer,0.283456269841,0.0717625,0.0537515734516,0.00781063417367,1,0,0,25,5,1,0.786163522013,True,2020-01-08,True
2020-01-09,Energy,0.10351,-0.018875,0.0659494393939,0.0584373272727,0.75,0,0.25,10,4,0.8,0.588235294118,True,2020-01-08,True
2020-01-09,Financials,0.261529333333,0.467683333333,0.224220111111,0.216758266667,0.6,0.4,0,11,5,1,0.654054054054,True,2020-01-08,True
2020-01-09,Healthcare,0.159044444444,0.257151851852,0.212815267637,0.223569432275,0.333333333333,0.666666666667,0,8,3,0.6,0.492307692308,True,2020-01-08,True
2020-01-09,Industrials,0.0337166666667,0.0203428571429,0.0142708950617,0.0103817407407,0.4,0.6,0,9,5,1,0.852631578947,True,2020-01-08,True
2020-01-09,Materials,0.0424222222222,-0.0996,0.0187484259259,0.0140136666667,0.333333333333,0.666666666667,0,6,3,0.6,0.514285714286,True,2020-01-08,True
2020-01-09,RealEstate,0,-0.1008,0.000211111111111,0.000253333333333,0,1,0,1,1,0.2,0.2,True,2020-01-08,True
2020-01-09,Tech,0.0915433333333,0.087443125,0.0583410760073,0.0517006245421,0.6,0.4,0,17,5,1,0.770666666667,True,2020-01-08,True
2020-01-09,Utilities,0.074,0.279733333333,0.296615972222,0.341139166667,0.25,0.75,0,5,4,0.8,0.714285714286,True,2020-01-08,True
2020-01-10,Comm,0.0358458333333,0.16018,0.15714234127,0.177358425926,0.5,0.25,0.25,8,4,0.8,0.711111111111,True,2020-01-09,True
2020-01-10,Consumer,0.004144,0.283456269841,0.0466647772442,0.0537515734516,0.4,0.4,0.2,15,5,1,0.762711864407,True,2020-01-09,True
2020-01-10,Energy,0.073962,0.10351,0.0670940909091,0.0659494393939,0.8,0,0.2,15,5,1,0.849056603774,True,2020-01-09,True
2020-01-10,Financials,0.219358333333,0.261529333333,0.223525571429,0.224220111111,0.666666666667,0.333333333333,0,7,3,0.6,0.466666666667,True,2020-01-09,True
2020-01-10,Healthcare,0.24778,0.159044444444,0.217810229403,0.212815267637,0.6,0.2,0.2,12,5,1,0.9,True,2020-01-09,True
2020-01-10,Industrials,0.09255,0.0337166666667,0.0254536243386,0.0142708950617,0.666666666667,0.333333333333,0,8,3,0.6,0.533333333333,True,2020-01-09,True
2020-01-10,Materials,-0.10715,0.0424222222222,0.000762936507937,0.0187484259259,0,0.5,0.5,4,4,0.8,0.8,True,2020-01-09,True
2020-01-10,RealEstate,-0.08412,0,-0.0118361904762,0.000211111111111,0.2,0.4,0.4,6,5,1,0.9,True,2020-01-09,True
2020-01-10,Tech,0.306865833333,0.0915433333333,0.0938446127682,0.0583410760073,1,0,0,21,4,0.8,0.780530973451,True,2020-01-09,True
